_id,ngo_id,organization_name,contact_person,phone,city,address,capacity,mealsServedDaily
cd4d772264e2feb6df9e04a8,cc3efec48c6e8683f9ce59ca,Food Help 1 Org,Contact 1,555-0300,TestCity,200 NGO Blvd,1000,200
374bf7f418d7543e6f9bea87,c6f6f29250110acb018d0592,Food Help 2 Org,Contact 2,555-0301,TestCity,201 NGO Blvd,1000,200
3f516a68e5207f6df850c3cb,4d14ff3e0d7b7c295bfc6b1f,Food Help 3 Org,Contact 3,555-0302,TestCity,202 NGO Blvd,1000,200
35291fda698c75e3aa93c73b,3a3b6a7555e4629b931dc347,Food Help 4 Org,Contact 4,555-0303,TestCity,203 NGO Blvd,1000,200
42c482087d1d01d699fe1ab1,22c1869844684ace475f7080,Food Help 5 Org,Contact 5,555-0304,TestCity,204 NGO Blvd,1000,200
4e9f116fa29166348a905515,0981ba32df4c5b0197ec32f4,Food Help 6 Org,Contact 6,555-0305,TestCity,205 NGO Blvd,1000,200
585808314ae18d5206a8ac7f,9fc3daf033775d601693fd94,Food Help 7 Org,Contact 7,555-0306,TestCity,206 NGO Blvd,1000,200
7b6d6ad53a84c8a61a726da5,cbdbf2674489db4801c0a2bd,Food Help 8 Org,Contact 8,555-0307,TestCity,207 NGO Blvd,1000,200
eeecd94ee7c7998a94a98337,65055fedd7cf5170949795ad,Food Help 9 Org,Contact 9,555-0308,TestCity,208 NGO Blvd,1000,200
5251e9fae4bcbe260e9932ea,647d81da18713dd3d4ddd797,Food Help 10 Org,Contact 10,555-0309,TestCity,209 NGO Blvd,1000,200
58899fdbfd9be176d2763d0e,ea1bf31d0fa48079b85c796d,Food Help 11 Org,Contact 11,555-03010,TestCity,210 NGO Blvd,1000,200
0ebe3f2dfad8a4268a52babd,dd9de253c9d2e7a947208d9d,Food Help 12 Org,Contact 12,555-03011,TestCity,211 NGO Blvd,1000,200
cd4a80a1b44b5d7f06415d92,62ebcc56ab0508a84dd32df1,Food Help 13 Org,Contact 13,555-03012,TestCity,212 NGO Blvd,1000,200
fa35d7b824b82e6a85fac3f4,66e987d84a2a52c7050b30bb,Food Help 14 Org,Contact 14,555-03013,TestCity,213 NGO Blvd,1000,200
29c76d0953ee0dc14f63539f,36f8764e080dd53f4a8c293f,Food Help 15 Org,Contact 15,555-03014,TestCity,214 NGO Blvd,1000,200
1792e4aa113459218ae81a64,a5df70fb419873084b7c4888,Food Help 16 Org,Contact 16,555-03015,TestCity,215 NGO Blvd,1000,200
81fcb377c6627f993bd3921a,3c1e2d4b29dcc97a6c2f3097,Food Help 17 Org,Contact 17,555-03016,TestCity,216 NGO Blvd,1000,200
9c8e007582bc6a9f2b494d0e,2ab44d7e62c488cde8ee842b,Food Help 18 Org,Contact 18,555-03017,TestCity,217 NGO Blvd,1000,200
ab55f2c783e504ef3c5093a1,f6fb88a2f122b7cf555815f1,Food Help 19 Org,Contact 19,555-03018,TestCity,218 NGO Blvd,1000,200
4b1796da9ed42e30de096c0c,4d15f29bdde9f5de8939af26,Food Help 20 Org,Contact 20,555-03019,TestCity,219 NGO Blvd,1000,200
e31cfc417560bc9ce0d3e338,b9a8e0832c78d0ae2cbd1d0d,Food Help 21 Org,Contact 21,555-03020,TestCity,220 NGO Blvd,1000,200
ff77cc652b96a29b4b41ea28,b1304e53d8a901023f1af33d,Food Help 22 Org,Contact 22,555-03021,TestCity,221 NGO Blvd,1000,200
86bd9812efb94f70632e80e6,ec6e0351a1c2e31d352e9d09,Food Help 23 Org,Contact 23,555-03022,TestCity,222 NGO Blvd,1000,200
a3f404e4390821893dba4d21,2669ac1ce55af734e80c181a,Food Help 24 Org,Contact 24,555-03023,TestCity,223 NGO Blvd,1000,200
f74d6c2a3516209a77d2fe17,ab438a79ff35259ab3222879,Food Help 25 Org,Contact 25,555-03024,TestCity,224 NGO Blvd,1000,200
651507dc029d6bcbd6ee1cb3,7c7dc5210fe77be8a9d1a4ca,Food Help 26 Org,Contact 26,555-03025,TestCity,225 NGO Blvd,1000,200
d0b4f17f99a0eb8faaa370ba,b3dba8e7273c9ab1fc9e17ff,Food Help 27 Org,Contact 27,555-03026,TestCity,226 NGO Blvd,1000,200
